"title","budget","genre","mpaa","runtimes","rating"
"Battlefield America","15000000","4","3","106","2.5"
"Battlefield Earth","44000000","20","3","118","2.4"
"Battleship","209000000","20","3","131","5.9"
"Bay Rong","1500000","20","4","90","6.1"
"Be Cool","53000000","5","3","118","5.6"
"Be Kind Rewind","20000000","5","3","102","6.4"
"Be My Baby","500000","5","3","86","4.6"
"Beach Babes from Beyond","300000","5","4","75","3.5"
"Bean","22000000","5","3","89","6.3"
"Beastly","17000000","4","3","86","5.5"
"Beasts of the Southern Wild","1800000","4","3","93","7.3"
"Beat the World","10000000","4","3","91","4.6"
"Beatdown","1000000","20","4","90","4.5"
"Beau Jest","1000000","5","2","98","6.9"
"Beautiful","9000000","5","3","112","5.3"
"Beautiful Creatures","60000000","4","3","124","6.2"
"Beautiful Kate","4300000","4","4","90","6.8"
"Beavis and Butt-Head Do America","12000000","13","3","81","6.8"
"Because of Winn-Dixie","14000000","5","2","106","6.4"
"Becket","3000000","11","3","148","8.0"
"Becoming Jane","16500000","11","2","120","7.1"
"Becoming Redwood","1200000","4","4","99","6.0"
"Bedazzled","48000000","5","3","93","5.9"
